Datetime,Open,High,Low,Close,Volume
2025-06-21 04:00:00+00:00,144155000.0,144189000.0,143748000.0,143855000.0,83.48666991
2025-06-21 08:00:00+00:00,143855000.0,144427000.0,143855000.0,144314000.0,75.41584055
2025-06-21 12:00:00+00:00,144314000.0,144400000.0,144000000.0,144141000.0,67.81385325
2025-06-21 16:00:00+00:00,144240000.0,144296000.0,143032000.0,143033000.0,105.49383486
2025-06-21 20:00:00+00:00,143033000.0,143837000.0,141151000.0,142782000.0,627.92484201
2025-06-22 00:00:00+00:00,142811000.0,144900000.0,142269000.0,142817000.0,520.97373221
2025-06-22 04:00:00+00:00,142885000.0,143547000.0,142583000.0,142904000.0,130.34423015
2025-06-22 08:00:00+00:00,142904000.0,143390000.0,142324000.0,143150000.0,166.09747435
2025-06-22 12:00:00+00:00,143145000.0,143235000.0,138068000.0,138069000.0,1514.53773585
2025-06-22 16:00:00+00:00,138068000.0,139600000.0,137683000.0,137717000.0,358.91416232
2025-06-22 20:00:00+00:00,137717000.0,141135000.0,137127000.0,140908000.0,645.01271347
2025-06-23 00:00:00+00:00,140908000.0,142120000.0,140397000.0,141298000.0,362.16123073
2025-06-23 04:00:00+00:00,141298000.0,142500000.0,141000000.0,142390000.0,229.90059471
2025-06-23 08:00:00+00:00,142389000.0,142462000.0,141404000.0,141603000.0,202.16306251
2025-06-23 12:00:00+00:00,141604000.0,143300000.0,141052000.0,141853000.0,356.26896772
2025-06-23 16:00:00+00:00,141802000.0,143522000.0,139698000.0,143275000.0,420.54167477
2025-06-23 20:00:00+00:00,143275000.0,147101000.0,142968000.0,146182000.0,851.91685033
2025-06-24 00:00:00+00:00,146180000.0,146387000.0,145000000.0,145278000.0,340.21367897
2025-06-24 04:00:00+00:00,145278000.0,146100000.0,145000000.0,145050000.0,275.04528176
2025-06-24 08:00:00+00:00,145047000.0,145533000.0,144222000.0,144974000.0,260.52843176
2025-06-24 12:00:00+00:00,144972000.0,145502000.0,144564000.0,144925000.0,171.92070471
2025-06-24 16:00:00+00:00,144925000.0,146036000.0,144900000.0,145300000.0,110.55655132
2025-06-24 20:00:00+00:00,145219000.0,145846000.0,145038000.0,145625000.0,114.65647275
2025-06-25 00:00:00+00:00,145626000.0,146500000.0,145360000.0,146090000.0,268.92210514
2025-06-25 04:00:00+00:00,146072000.0,146500000.0,145900000.0,146401000.0,135.82284891
2025-06-25 08:00:00+00:00,146387000.0,147520000.0,146177000.0,147417000.0,257.98370702
2025-06-25 12:00:00+00:00,147417000.0,148620000.0,146922000.0,147200000.0,449.95163034
2025-06-25 16:00:00+00:00,147170000.0,148090000.0,147100000.0,147911000.0,90.31051358
2025-06-25 20:00:00+00:00,147901000.0,148100000.0,147057000.0,147365000.0,115.59864182
2025-06-26 00:00:00+00:00,147365000.0,148200000.0,146980000.0,147714000.0,242.11515203
2025-06-26 04:00:00+00:00,147713000.0,147925000.0,147472000.0,147622000.0,105.28130414
2025-06-26 08:00:00+00:00,147618000.0,148205000.0,147121000.0,147423000.0,164.18515197
2025-06-26 12:00:00+00:00,147423000.0,147729000.0,146500000.0,147400000.0,233.52365039
2025-06-26 16:00:00+00:00,147370000.0,147756000.0,146876000.0,147717000.0,52.86927593
2025-06-26 20:00:00+00:00,147753000.0,148094000.0,146846000.0,146852000.0,152.36407078
2025-06-27 00:00:00+00:00,146868000.0,147384000.0,146000000.0,147272000.0,231.62247927
