Price,Close,High,Low,Open,Volume
Ticker,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC
Datetime,,,,,
2025-03-31 13:30:00+00:00,16929.900390625,17050.484375,16857.09765625,17050.484375,0
2025-03-31 14:30:00+00:00,17046.48828125,17080.037109375,16932.767578125,16932.767578125,914496000
2025-03-31 15:30:00+00:00,17142.57421875,17143.326171875,17033.56640625,17048.0234375,647997000
2025-03-31 16:30:00+00:00,17108.30078125,17161.708984375,17081.404296875,17140.509765625,506789000
2025-03-31 17:30:00+00:00,17224.712890625,17225.921875,17078.474609375,17108.716796875,514841000
2025-03-31 18:30:00+00:00,17220.8515625,17281.267578125,17206.2265625,17225.505859375,650942000
2025-03-31 19:30:00+00:00,17284.9453125,17334.01953125,17215.0859375,17221.310546875,607485000
2025-04-01 13:30:00+00:00,17216.54296875,17322.46875,17150.29296875,17216.173828125,0
2025-04-01 14:30:00+00:00,17429.642578125,17461.58984375,17213.38671875,17213.38671875,1002959000
2025-04-01 15:30:00+00:00,17430.31640625,17506.4921875,17406.330078125,17427.908203125,737969000
2025-04-01 16:30:00+00:00,17391.712890625,17453.419921875,17377.154296875,17432.17578125,601711000
2025-04-01 17:30:00+00:00,17277.6953125,17425.85546875,17264.048828125,17390.591796875,600470000
2025-04-01 18:30:00+00:00,17344.322265625,17364.779296875,17266.767578125,17276.802734375,644354000
2025-04-01 19:30:00+00:00,17448.95703125,17464.96875,17336.65234375,17341.12890625,557230000
2025-04-02 13:30:00+00:00,17436.978515625,17457.724609375,17181.40234375,17204.5546875,0
2025-04-02 14:30:00+00:00,17533.96875,17549.32421875,17412.14453125,17433.052734375,1099542000
2025-04-02 15:30:00+00:00,17610.951171875,17611.529296875,17468.365234375,17531.3671875,804859000
2025-04-02 16:30:00+00:00,17672.833984375,17716.19140625,17586.083984375,17611.830078125,738123000
2025-04-02 17:30:00+00:00,17475.474609375,17671.548828125,17475.474609375,17671.548828125,596769000
2025-04-02 18:30:00+00:00,17542.04296875,17560.65234375,17470.396484375,17470.69140625,609549000
2025-04-02 19:30:00+00:00,17598.099609375,17630.123046875,17529.29296875,17530.01953125,570462000
2025-04-03 13:30:00+00:00,16759.08984375,16889.34375,16708.740234375,16794.974609375,0
2025-04-03 14:30:00+00:00,16669.62109375,16773.3828125,16571.83203125,16762.83203125,1220339000
2025-04-03 15:30:00+00:00,16807.775390625,16819.78515625,16670.830078125,16670.830078125,831686000
2025-04-03 16:30:00+00:00,16697.0859375,16821.60546875,16683.8671875,16813.61328125,645113000
2025-04-03 17:30:00+00:00,16634.166015625,16745.099609375,16620.9296875,16696.3125,617586000
2025-04-03 18:30:00+00:00,16589.62109375,16704.1484375,16586.208984375,16633.376953125,843542000
