Datetime,Open,High,Low,Close,Volume
2017-09-25 12:00:00,4216000.0,4242000.0,4191000.0,4235000.0,164525000.0
2017-09-25 16:00:00,4235000.0,4235000.0,4187000.0,4204000.0,25226000.0
2017-09-25 20:00:00,4204000.0,4298000.0,4175000.0,4291000.0,935253000.0
2017-09-26 00:00:00,4297000.0,4332000.0,4228000.0,4313000.0,882110000.0
2017-09-26 04:00:00,4308000.0,4332000.0,4303000.0,4305000.0,941631000.0
2017-09-26 08:00:00,4305000.0,4382000.0,4298000.0,4379000.0,984358000.0
2017-09-26 12:00:00,4380000.0,4380000.0,4311000.0,4345000.0,975802000.0
2017-09-26 16:00:00,4345000.0,4392000.0,4333000.0,4389000.0,959802000.0
2017-09-26 20:00:00,4380000.0,4418000.0,4370000.0,4380000.0,978693000.0
2017-09-27 00:00:00,4377000.0,4380000.0,4348000.0,4370000.0,986999000.0
2017-09-27 04:00:00,4364000.0,4390000.0,4348000.0,4356000.0,986823000.0
2017-09-27 08:00:00,4356000.0,4366000.0,4318000.0,4355000.0,995293000.0
2017-09-27 12:00:00,4355000.0,4420000.0,4353000.0,4409000.0,944921000.0
2017-09-27 16:00:00,4411000.0,4503000.0,4411000.0,4503000.0,946852000.0
2017-09-27 20:00:00,4497000.0,4536000.0,4478000.0,4527000.0,1005943000.0
2017-09-28 00:00:00,4531000.0,4570000.0,4495000.0,4570000.0,1039844000.0
2017-09-28 04:00:00,4569000.0,4598000.0,4515000.0,4596000.0,1060488000.0
2017-09-28 08:00:00,4596000.0,4677000.0,4596000.0,4635000.0,1033017000.0
2017-09-28 12:00:00,4632000.0,4765000.0,4627000.0,4750000.0,1082400000.0
2017-09-28 16:00:00,4746000.0,4772000.0,4519000.0,4590000.0,1071801000.0
2017-09-28 20:00:00,4602000.0,4674000.0,4551000.0,4560000.0,1034826000.0
2017-09-29 00:00:00,4560000.0,4635000.0,4520000.0,4587000.0,1053951000.0
2017-09-29 04:00:00,4587000.0,4625000.0,4540000.0,4613000.0,1041015000.0
2017-09-29 08:00:00,4613000.0,4634000.0,4499000.0,4531000.0,1035141000.0
2017-09-29 12:00:00,4530000.0,4573000.0,4476000.0,4563000.0,1044026000.0
2017-09-29 16:00:00,4563000.0,4657000.0,4563000.0,4657000.0,1031698000.0
2017-09-29 20:00:00,4657000.0,4709000.0,4644000.0,4669000.0,1075253000.0
2017-09-30 00:00:00,4676000.0,4686000.0,4628000.0,4658000.0,1067890000.0
2017-09-30 04:00:00,4655000.0,4685000.0,4640000.0,4640000.0,1017877000.0
2017-09-30 08:00:00,4644000.0,4705000.0,4631000.0,4703000.0,1051740000.0
2017-09-30 12:00:00,4709000.0,4762000.0,4693000.0,4762000.0,1043174000.0
2017-09-30 16:00:00,4764000.0,4778000.0,4725000.0,4752000.0,1103015000.0
2017-09-30 20:00:00,4750000.0,4788000.0,4741000.0,4788000.0,1056988000.0
2017-10-01 00:00:00,4783000.0,4845000.0,4777000.0,4806000.0,1104620000.0
2017-10-01 04:00:00,4809000.0,4863000.0,4801000.0,4863000.0,1108136000.0
2017-10-01 08:00:00,4863000.0,4948000.0,4839000.0,4839000.0,1091173000.0
2017-10-01 12:00:00,4836000.0,4896000.0,4776000.0,4872000.0,612145000.0
2017-10-01 16:00:00,4877000.0,4908000.0,4867000.0,4896000.0,1113259000.0
2017-10-01 20:00:00,4901000.0,4915000.0,4856000.0,4886000.0,1118243000.0
